sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
100,7447123265010601234,https://www.tiktok.com/@lancomethailand/video/7447123265010601234,,,,0,,,,,0,0
101,7447164574098345224,https://www.tiktok.com/@lancomethailand/video/7447164574098345224,,,,0,,,,,0,0
102,7447493908910771463,https://www.tiktok.com/@lancomethailand/video/7447493908910771463,,,,1,user14906391598164,มาลี จันตาใหม่,😁😁😁,2025-02-04T14:53:24,0,0
103,7448099243878927623,https://www.tiktok.com/@lancomethailand/video/7448099243878927623,,,,0,,,,,0,0
104,7448283301464263943,https://www.tiktok.com/@lancomethailand/video/7448283301464263943,,,,0,,,,,0,0
105,7448285509287169288,https://www.tiktok.com/@lancomethailand/video/7448285509287169288,,,,0,,,,,0,0
106,7448300083830934792,https://www.tiktok.com/@lancomethailand/video/7448300083830934792,Getting to know our ingredients - Part 2 🩷 IDÔLE NOW EDP FLORALE ดึงเสน่ห์อันเหลือล้นของคุณ พร้อมปลุ...,https://m.tiktok.com/v/7448300083830934792.html?_d=0&comment_author_id=7403284978744460294&preview_pb=0&share_comment_id=7466078577503781640&share_item_id=7448300083830934792&sharer_language=en&source=h5_m&u_code=0,#LancomeThailand|#lancomeidole|#edp|#fragrance|#น้ําหอมผู้หญิง|#รีวิวบิวตี้|#idolenow|#idole|#น้ําหอม|#น้ําหอมติดทน,1,user76146560313804,Narakorn,@Narakorn:❤️❤️❤️สวัสดีครับ☺️☺️☺️,2025-01-31T14:58:13,0,0
107,7448301110965767431,https://www.tiktok.com/@lancomethailand/video/7448301110965767431,,,,0,,,,,0,0
108,7448473109528677640,https://www.tiktok.com/@lancomethailand/video/7448473109528677640,,,,1,jnj0909,jessy girl,😳,2025-06-03T07:25:21,0,0
109,7449235754078850311,https://www.tiktok.com/@lancomethailand/video/7449235754078850311,,,,0,,,,,0,0
110,7450356122277498120,https://www.tiktok.com/@lancomethailand/video/7450356122277498120,,,,0,,,,,0,0
111,7450356173930269970,https://www.tiktok.com/@lancomethailand/video/7450356173930269970,,,,0,,,,,0,0
112,7450356254456745224,https://www.tiktok.com/@lancomethailand/video/7450356254456745224,,,,0,,,,,0,0
113,7450418161976904978,https://www.tiktok.com/@lancomethailand/video/7450418161976904978,,,,0,,,,,0,0
114,7450418235448626439,https://www.tiktok.com/@lancomethailand/video/7450418235448626439,,,,0,,,,,0,0
115,7450418280998685960,https://www.tiktok.com/@lancomethailand/video/7450418280998685960,,,,0,,,,,0,0
116,7450418327962258706,https://www.tiktok.com/@lancomethailand/video/7450418327962258706,,,,0,,,,,0,0
117,7450418947561704711,https://www.tiktok.com/@lancomethailand/video/7450418947561704711,,,,0,,,,,0,0
118,7450419036963294472,https://www.tiktok.com/@lancomethailand/video/7450419036963294472,,,,0,,,,,0,0
119,7450419994644598024,https://www.tiktok.com/@lancomethailand/video/7450419994644598024,,,,0,,,,,0,0
120,7450420633097309447,https://www.tiktok.com/@lancomethailand/video/7450420633097309447,,,,2,user5672685235480,ミッチ,🥰🥰🥰,2025-05-29T16:39:50,0,0
121,7450420705113459986,https://www.tiktok.com/@lancomethailand/video/7450420705113459986,,,,0,,,,,0,0
122,7450800177964748040,https://www.tiktok.com/@lancomethailand/video/7450800177964748040,,,,0,,,,,0,0
123,7452179853152980232,https://www.tiktok.com/@lancomethailand/video/7452179853152980232,,,,4,damonyah,Yahdamon,เพิ่งน้ำหอม Lancome ตกแตก😭😭😭,2025-02-28T12:03:38,0,0
124,7452289420398431506,https://www.tiktok.com/@lancomethailand/video/7452289420398431506,,,,0,,,,,0,0
125,7452755248969551124,https://www.tiktok.com/@lancomethailand/video/7452755248969551124,,,,0,,,,,0,0
