sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
76,7451706207825399047,https://www.tiktok.com/@lancome_vietnam/video/7451706207825399047,"Khám phá serum tươi 3 lõi Rénergie Triple H.C.F., chứa Hyaluronic Acid, vitamin C + Niacinamide & Fe...",https://m.tiktok.com/v/7451706207825399047.html?_d=0&comment_author_id=7283960001151370245&preview_pb=0&share_comment_id=7451824082222760711&share_item_id=7451706207825399047&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#serumtuoi3loi,3,sapna.malik.0,شهزادګۍ 👸,💕👍,2024-12-24T05:03:26,0,0
77,7451708432278703367,https://www.tiktok.com/@lancome_vietnam/video/7451708432278703367,Serum tươi 3 lõi Renergie Triple Eye: Chăm sóc vùng mắt bạn một cách chuyên biệt và nhận thấy hiệu q...,https://m.tiktok.com/v/7451708432278703367.html?_d=0&comment_author_id=6654715008578732033&preview_pb=0&share_comment_id=7459741994572923655&share_item_id=7451708432278703367&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#serumtuoi3loivungmat|#skincare,1,huongha8986,huongha8986,Là sr 3 lõi dùng cho cả vùng mắt ạ,2025-01-14T13:09:11,0,0
78,7451828526476643591,https://www.tiktok.com/@lancome_vietnam/video/7451828526476643591,"Son bơ siêu dưỡng 24H với thành phần nổi trội Squalane giúp dưỡng ẩm siêu tốc, giảm nhăn môi và cho ...",https://m.tiktok.com/v/7451828526476643591.html?_d=0&comment_author_id=7435982894318945336&preview_pb=0&share_comment_id=7451886965149106952&share_item_id=7451828526476643591&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#makeup|#sonbosieuduong,6,user3343412820763,Evange,吃得苦中苦方為人上人,2024-12-24T09:07:29,0,0
79,7451835651399372050,https://www.tiktok.com/@lancome_vietnam/video/7451835651399372050,Tác dụng kép vừa dưỡng ẩm vừa làm đẹp của Son bơ siêu dưỡng 24H Lip Idole sẽ khiến bạn thích mê. Sản...,https://m.tiktok.com/v/7451835651399372050.html?_d=0&comment_author_id=7397036628797342725&preview_pb=0&share_comment_id=7452907385872483090&share_item_id=7451835651399372050&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#sonbosieuduong|#lipidole,9,user3372581843182,Trần Lê Hưng,nike,2024-12-27T03:07:15,0,0
80,7451836302942555399,https://www.tiktok.com/@lancome_vietnam/video/7451836302942555399,"Với công thức chứa thành phần Squalane siêu dưỡng, Lip Idole là chân ái dưỡng môi cho bạn dịp cuối n...",https://m.tiktok.com/v/7451836302942555399.html?_d=0&comment_author_id=7287399731428656134&preview_pb=0&share_comment_id=7451863787055891207&share_item_id=7451836302942555399&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#sonbosieuduong|#lipidole,3,waste.oil.filter8,DAKE INTERNATIONAL_28,"For waste oil filtration machines, samples can be tested and inspected. Please pay attention to us💕",2024-12-24T07:37:33,0,0
81,7455552555649699079,https://www.tiktok.com/@lancome_vietnam/video/7455552555649699079,"Happy New Year 2025 🎉 Khi Nghệ Thuật Quốc Tế Kết Hợp Cùng Sự Đặc Trưng Văn Hóa Riêng, Lancôme Mang Đ...",https://m.tiktok.com/v/7455552555649699079.html?_d=0&comment_author_id=7403423184727491601&preview_pb=0&share_comment_id=7455731461737775890&share_item_id=7455552555649699079&sharer_language=en&source=h5_m&u_code=0,#lancome|#skincare|#genifiqueultimate,8,tuean__,hi,Nghê Ni❤️,2025-01-03T17:46:05,0,0
82,7457025443124874504,https://www.tiktok.com/@lancome_vietnam/video/7457025443124874504,"Cánh hoa nở đầu tiên vào Xuân không chỉ rực rỡ mà còn mang trong mình sức mạnh tiềm ẩn, dũng cảm vượ...",https://m.tiktok.com/v/7457025443124874504.html?_d=0&comment_author_id=7162495507154863105&preview_pb=0&share_comment_id=7458269233182016274&share_item_id=7457025443124874504&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#skincare,2,usera0981n0c1x,Hương Giang,🥰🥰🥰,2025-01-10T13:54:04,0,0
83,7457602332512079112,https://www.tiktok.com/@lancome_vietnam/video/7457602332512079112,Bừng sắc rạng rỡ chào xuân cùng món quà tuyệt vời mà Lancome dành tặng nàng. #lancomevietnam #skinca...,https://m.tiktok.com/v/7457602332512079112.html?_d=0&comment_author_id=7041879864643257346&preview_pb=0&share_comment_id=7458946109969351431&share_item_id=7457602332512079112&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#skincare,2,vu_ngoc0610,Vũ Ngọc,Set bnhiu ạ,2025-01-12T09:40:38,0,0
84,7458284165352393991,https://www.tiktok.com/@lancome_vietnam/video/7458284165352393991,Nghệ nhân đương đại Thái Quốc Cường cùng đội ngũ đã tạo nên tuyệt tác Hoa Hồng Paris.  #lancomevietn...,https://m.tiktok.com/v/7458284165352393991.html?_d=0&comment_author_id=7314639247402091525&preview_pb=0&share_comment_id=7485141938867372808&share_item_id=7458284165352393991&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#skincare,1,vnngctrn25,HuyTrapBoy,😳,2025-03-23T22:54:17,0,0
85,7458690859081518344,https://www.tiktok.com/@lancome_vietnam/video/7458690859081518344,Nâng tầm nhan sắc đón xuân cùng Lancôme.  #lancomevietnam #skincare ,https://m.tiktok.com/v/7458690859081518344.html?_d=0&comment_author_id=7404953802351412230&preview_pb=0&share_comment_id=7480488460143821575&share_item_id=7458690859081518344&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#skincare,3,hanhle73032680460,Võ Thien Liên,hi,2025-03-11T09:55:57,0,0
