sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
54,7426786575175912711,https://www.tiktok.com/@lancomemalaysia/video/7426786575175912711,,,,0,,,,,0,0
55,7426788073037384978,https://www.tiktok.com/@lancomemalaysia/video/7426788073037384978,"The more you #MessWithLancome, the better your looks will get. 😉 #Lancome #LancomeMY #MessWithLancom...",https://m.tiktok.com/v/7426788073037384978.html?_d=0&comment_author_id=7102919896551588891&preview_pb=0&share_comment_id=7428061159133152007&share_item_id=7426788073037384978&sharer_language=en&source=h5_m&u_code=0,"#MessWithLancome,|#Lancome|#LancomeMY|#MessWithLancome|#LancomeMakeUp|#MakeUp|#MakeUpTok|#EmmaChamberlain",1,gayathiri228,🎀GAYATHIRI310857🎀,wow she is pretty,2024-10-21T04:11:07,0,1
56,7426788663905864967,https://www.tiktok.com/@lancomemalaysia/video/7426788663905864967,"It’s giving range, it’s giving hydration, it’s giving the glossiest, juiciest lippie ever. ✨ Nobody ...",https://m.tiktok.com/v/7426788663905864967.html?_d=0&comment_author_id=6843678904621188097&preview_pb=0&share_comment_id=7428478912201835271&share_item_id=7426788663905864967&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeMakeUp|#LipIdole|#MakeUp|#MakeUpTok,7,heyylay3,Laynisha Vj,Woah 28 looks good! 😍,2024-10-22T07:12:11,0,1
57,7426789345757007122,https://www.tiktok.com/@lancomemalaysia/video/7426789345757007122,"Turns out the Lip Idôle Squalane-12 Butterglow is everyone’s new fixation, and it’s selling out even...",https://m.tiktok.com/v/7426789345757007122.html?_d=0&comment_author_id=7206548202957554715&preview_pb=0&share_comment_id=7430443774507778834&share_item_id=7426789345757007122&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeMakeUp|#LipIdole|#MakeUp|#MakeUpTok|#EmmaChamberlain,2,aisyrayyan26,AisyAmnan shop,good🥰,2024-10-27T14:16:53,0,1
58,7428502194384571666,https://www.tiktok.com/@lancomemalaysia/video/7428502194384571666,,,,0,,,,,0,0
59,7429234943575772424,https://www.tiktok.com/@lancomemalaysia/video/7429234943575772424,,,,1,marsyela87,aquarius 🏺,🥰,2024-11-09T05:53:41,0,1
60,7429296479451352328,https://www.tiktok.com/@lancomemalaysia/video/7429296479451352328,,,,0,,,,,0,0
61,7430764853423492370,https://www.tiktok.com/@lancomemalaysia/video/7430764853423492370,,,,5,createwithchesterjane,CHESTER JANE 😻,Wanna try! 🥰🥰🥰,2024-11-18T05:51:24,0,2
62,7430766125174115592,https://www.tiktok.com/@lancomemalaysia/video/7430766125174115592,Unlock your skin's ultimate potential with the new LANCOME Genifique Ultimate Serum. It delivers cli...,https://m.tiktok.com/v/7430766125174115592.html?_d=0&comment_author_id=7382481532151497729&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227430766125174115592%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252FowAikjLAikAxZcwIDIvixHBAGYlIRyYR9UUxS~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253Df48f689a%2526x-expires%253D1787763600%2526x-signature%253D%25252FCTL7rq0NQ2mcga9j3tspf22nto%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221729765684151223540%22%2C%22placeholder_video_id%22%3A%227430766125174115592%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7441533544176927496&share_item_id=7430766125174115592&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeSkincare|#Genifique|#Skincare|#SkinTok,4,yongsueyee07,Sue Yee,"Memang ni antara serum yg terbaik,puas hati❤️❤️",2024-11-26T11:30:54,0,1
63,7431268650914499858,https://www.tiktok.com/@lancomemalaysia/video/7431268650914499858,,,,0,,,,,0,0
64,7431270018433764615,https://www.tiktok.com/@lancomemalaysia/video/7431270018433764615,,,,0,,,,,0,0
65,7431271945120926994,https://www.tiktok.com/@lancomemalaysia/video/7431271945120926994,Manifesting mega-sized Idôle so we’d never run out of our makeup holy grails. 🤩 #Lancome #LancomeMY ...,https://m.tiktok.com/v/7431271945120926994.html?_d=0&comment_author_id=6582417899453186050&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227431271945120926994%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp19-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252FoArCpWD9CfX8gGQXnOHPAeohExQEQfP8MlLcQA~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D5678eb95%2526x-expires%253D1787763600%2526x-signature%253DmXjJVlPtztkiDIxuHo3y2lrLYHs%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221729765744106177780%22%2C%22placeholder_video_id%22%3A%227431271945120926994%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7431753971045286688&share_item_id=7431271945120926994&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeMakeUp|#LancomeFragrance|#TeintIdoleUltraWear|#IdoleTint|#LashIdole|#LipIdole|#IdoleByLancome|#MakeUp|#MakeUpTok|#Fragrance|#FragranceTok,1,emmawoorthy,Emma,😍,2024-10-31T03:02:29,0,0
66,7431272928307662087,https://www.tiktok.com/@lancomemalaysia/video/7431272928307662087,,,,1,yly55032nok,yly55032nok,🥰🥰🥰,2024-10-31T05:47:19,0,0
67,7432104035160689937,https://www.tiktok.com/@lancomemalaysia/video/7432104035160689937,,,,6,farahizakholitiza,farahizakholitiza,Both smell so good. But idole edp is superb 😍😍,2024-12-05T16:15:18,0,1
