sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
118,7483088812868947222,https://www.tiktok.com/@lancome.official/video/7483088812868947222,Learn how to achieve the perfect foundation coverage that is crack-proof in the cold and melt-proof ...,https://m.tiktok.com/v/7483088812868947222.html?_d=0&comment_author_id=7171969371228390405&preview_pb=0&share_comment_id=7487774875312079621&share_item_id=7483088812868947222&sharer_language=en&source=h5_m&u_code=0,#Lancome|#TeintIdoleUltraWear|#Makeup|#Foundation|#MakeupTok|#BeautyTok|#Face|#Glow|#PerfectFoundation|#Tutorial|#MakeupLook|#MakeupTutorial,32,sosaelvis,elvis,los quiero..,2025-03-31T01:11:13,0,0
119,7483474805988150550,https://www.tiktok.com/@lancome.official/video/7483474805988150550,Time to postpone your lash extensions appointment with the Lash Idôle Flutter Extension mascara 💁‍♀️...,https://m.tiktok.com/v/7483474805988150550.html?_d=0&comment_author_id=7475453396595967008&preview_pb=0&share_comment_id=7483920181172667138&share_item_id=7483474805988150550&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMakeup|#FlutterExtension|#Mascara|#NewLaunch|#LongLashes|#LashGoals|#Makeup|#Makeuptok|#XXL|#BeautyTok|#Satisfying|#Essentials|#LashTrend|#OverskinLipCheck,47,glamourrr18,Diesha💗,How do I get this sample👀,2025-03-20T15:52:46,0,0
120,7483841782522907926,https://www.tiktok.com/@lancome.official/video/7483841782522907926,,,,22,shristioli7,Shristi oli,Wanna collab with you 😍🌸,2025-05-18T02:12:44,0,0
121,7484203293632236822,https://www.tiktok.com/@lancome.official/video/7484203293632236822,"Yup, cancelling everything for the sake of our skincare routines 💙 Featuring: @Vidya @AVA @MELINDA B...",https://m.tiktok.com/v/7484203293632236822.html?_d=0&comment_author_id=7402638189305562144&preview_pb=0&share_comment_id=7487995568984834838&share_item_id=7484203293632236822&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Genifique|#GenifiqueUltimate|#Serum|#Skincare|#Skincaretiktok|#Skintok|#Relax|#Retreat|#Massage|#Glow|#GlowingSkin|#SkincareRoutine,24,pinkglitterart,maya,Literally me right now💕,2025-03-31T15:27:17,0,0
122,7484550252322721046,https://www.tiktok.com/@lancome.official/video/7484550252322721046,Something colorful is coming soon... Stay Tuned 🫢 #Lancome #Blush #Colors #Springs #Makeup #BeautyTo...,https://m.tiktok.com/v/7484550252322721046.html?_d=0&comment_author_id=7144590416375989253&preview_pb=0&share_comment_id=7484557590476227350&share_item_id=7484550252322721046&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Blush|#Colors|#Springs|#Makeup|#BeautyTok|#MakeupTok|#Pink|#Essentials|#MustHave|#MakeupEssentials|#Beauty|#Satisfying|#Blush|#RedBlush,56,floraszept11,floraszept11,so Olivia will step in the room soon?!💜,2025-03-22T09:06:10,0,0
123,7484571039024909600,https://www.tiktok.com/@lancome.official/video/7484571039024909600,Embrace your happiness with the new La vie est belle L'Elixir. Now available in a range of refillabl...,https://m.tiktok.com/v/7484571039024909600.html?_d=0&comment_author_id=6784851741868606469&preview_pb=0&share_comment_id=7503300720776069895&share_item_id=7484571039024909600&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomexJulia|#JuliaRoberts|#Lavieestbelle|#Lavieestbellelelixir|#Fragrance|#Fragrancetiktok|#SmellGood|#Sustainability|#Refill|#Paris,99,lizkar88,Liz Ruiz💜♌,mujer bonita por siempre.🥰,2025-05-11T22:19:34,0,0
124,7485304114348379414,https://www.tiktok.com/@lancome.official/video/7485304114348379414,"New season, new colors. Lancôme’s newest Blush Subtil shades 🌸  #Lancome #Blush #Colors #Springs #Ma...",https://m.tiktok.com/v/7485304114348379414.html?_d=0&comment_author_id=6885295434387293185&preview_pb=0&share_comment_id=7485721605198856968&share_item_id=7485304114348379414&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Blush|#Colors|#Springs|#Makeup|#BeautyTok|#MakeupTok|#Pink|#Essentials|#MustHave|#MakeupEssentials|#Beauty|#Satisfying|#Swatches|#RedBlush|#Blushhack,74,cute_clar_clar,Clarissa • Beauty • Lifestyle,The pigment though 😍,2025-03-25T12:23:28,0,0
125,7485680801116359958,https://www.tiktok.com/@lancome.official/video/7485680801116359958,...and it’s giving spring’s colors🌸 #Lancome #Blush #Colors #Springs #Makeup #BeautyTok #MakeupTok #...,https://m.tiktok.com/v/7485680801116359958.html?_d=0&comment_author_id=7347171804659647493&preview_pb=0&share_comment_id=7485922287834022662&share_item_id=7485680801116359958&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Blush|#Colors|#Springs|#Makeup|#BeautyTok|#MakeupTok|#Pink|#Essentials|#MustHave|#MakeupEssentials|#Beauty|#Satisfying,90,officiallymitchells,MRSMITCHELL,Damnnnnn okayyy the berry bisouuuuu👀,2025-03-26T01:22:11,0,1
126,7486150430641130774,https://www.tiktok.com/@lancome.official/video/7486150430641130774,A little wand and a lot of flutter with Lash Idôle Flutter Extension Mascara. #KathyHilton #LancomeP...,https://m.tiktok.com/v/7486150430641130774.html?_d=0&comment_author_id=6871775927912875013&preview_pb=0&share_comment_id=7491785754453738271&share_item_id=7486150430641130774&sharer_language=en&source=h5_m&u_code=0,#KathyHilton|#LancomePartner|#LancomeMakeup|#FlutterExtension|#Mascara|#Makeup|#Makeuptiktok|#Beauty,34,sambeatty3,Sam Beatty,When can we get a brown waterproof mascara?!,2025-04-10T21:35:22,0,0
127,7486471870435364118,https://www.tiktok.com/@lancome.official/video/7486471870435364118,Girl trick #3293 unlocked 🤭💖 ft. @Paola Alberdi  #Lancome #PaolaAlberdi #CafeDeLaRose #FlagshipStore...,https://m.tiktok.com/v/7486471870435364118.html?_d=0&comment_author_id=6714338067769164805&preview_pb=0&share_comment_id=7496988362462921489&share_item_id=7486471870435364118&sharer_language=en&source=h5_m&u_code=0,#3293|#Lancome|#PaolaAlberdi|#CafeDeLaRose|#FlagshipStore|#France|#Coffee|#Pastry|#Yummy|#lipstick,28,valtrevinot,Valentina Treviño Tr,Máster!,2025-04-24T22:04:58,0,0
128,7486886313313013014,https://www.tiktok.com/@lancome.official/video/7486886313313013014,And it’s as delicious as it sounds!🌸 @Loreto  #Lancome #LoretoPeralta #CafeDeLaRose #FlagshipStore #...,https://m.tiktok.com/v/7486886313313013014.html?_d=0&comment_author_id=7049785615663973382&preview_pb=0&share_comment_id=7488147649980777271&share_item_id=7486886313313013014&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LoretoPeralta|#CafeDeLaRose|#FlagshipStore|#France|#Coffee|#Pastry|#Yummy,38,andrea_garcia.ss,andrea,loreto eres perfecta,2025-04-01T01:17:46,0,0
