Video ID,Original URL,Description,Total Comments,Tags
"7526716040072662274","https://www.tiktok.com/@lancome.official/video/7526716040072662274","Summer glam #GRWM with @Christina Nadin  Complexion:  Teint Idole Ultra Wear Foundation  Teint Idole All Over Concealer Teint Idole Ultra Wear Powder Bronzer  Blush Subtil Powder Blush Lips: Lip Idôle Lip Shaper  Eyes: Lash Idôle Flutter Extension Mascara  Fragrance: Idôle Power ","23","#GRWM"
"7526713843611962646","https://www.tiktok.com/@lancome.official/video/7526713843611962646","Hot to be lazy, made even hotter when it’s a group effort. @Christina Nadin @SHALOM BLAC @Eloise Dufka @victoria herran @jourdansloane @Jessica Wang #JuicyTreat #Lancome #UVExpert #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty ","11","#JuicyTreat #Lancome #UVExpert #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty"
"7526651582117678358","https://www.tiktok.com/@lancome.official/video/7526651582117678358","Messy, but the glam is working overtime. #JuicyTreat #Lancome #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty #MessWithLancome  @Christina Nadin @SHALOM BLAC @Eloise Dufka @victoria herran ","40","#JuicyTreat #Lancome #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty #MessWithLancome"
"7526611678453140758","https://www.tiktok.com/@lancome.official/video/7526611678453140758","@SANANAS showing us that summer = playfulness 💜 #MESSWITHLANCOME #BTMess #Lancome #SanaaElMahalli #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","19","#MESSWITHLANCOME #BTMess #Lancome #SanaaElMahalli #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526596756012879126","https://www.tiktok.com/@lancome.official/video/7526596756012879126","LAVENDER LATTE on @SANANAS 🪻 The ultimate remedy for the scorching summer heat is here! #MESSWITHLANCOME MUA: @manoncana  Hair: @clotildehairstylist  Styling: @Steven Doan Style  Nails: @n e s s   COMPLEXION Teint Idole Ultra Wear Foundation Teint Idole Ultra Wear All-Over Concealer Teint Idole Ultra Wear C.E. Skin Transforming Bronzer Blush Subtil in 700 Coral Clash EYES Hypnôse Eyeshadow Palette in 06 Reflet D’Amethyste Idôle Tint Liquid Eye-Blusher in 10 Lavender Latte, 04 Sienna  Lash Idôle Flutter Extension Mascara LIPS  Juicy Tubes Lip Gloss in 20 Lavender Latte #Lancome #SanaaElMahalli #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","25","#MESSWITHLANCOME #Lancome #SanaaElMahalli #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526566645448346902","https://www.tiktok.com/@lancome.official/video/7526566645448346902","And... pose 💋 Juicy lips behind the scenes of #MESSWITHLANCOME with @ninachuba !  #BTSMess #Lancome #NinaChuba #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","17","#MESSWITHLANCOME #BTSMess #Lancome #NinaChuba #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526521393899392278","https://www.tiktok.com/@lancome.official/video/7526521393899392278","Off the court with gloss in hand. @Christina Nadin  #JuicyTreat #Lancome  #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty #LancomeMakeup ","11","#JuicyTreat #Lancome #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty #LancomeMakeup"
"7526501230957333782","https://www.tiktok.com/@lancome.official/video/7526501230957333782","Serving looks, not backhands 😌 #JuicyTreat #Lancome #Skincare #Hydration #Summer #HotToBeLazy #Beauty @SHALOM BLAC @Eloise Dufka ","11","#JuicyTreat #Lancome #Skincare #Hydration #Summer #HotToBeLazy #Beauty"
"7526487828117720342","https://www.tiktok.com/@lancome.official/video/7526487828117720342","LAVENDER LATTE on @ninachuba 💜 Sweet and juicy, the perfect summer treat! #MESSWITHLANCOME MUA: @Nati  Hair: Julien Gonzalez Galvez Styling: @Steven Doan Style  Nails: @n e s s   COMPLEXION Skin Idôle 3-Serum Supertint Skin Tint Teint Idole Ultra Wear All-Over Concealer Teint Idole Ultra Wear Skin Refining Setting Powder Teint Idole Ultra Wear C.E. Skin Transforming Bronzer EYES Lash Idôle Flutter Extension Mascara Idôle Tint Liquid Eye-Blusher in 10 Lavender Latte Drama Liqui-Pencil Eyeliner in 07 Purple Cabaret LIPS Lip Idôle Juicy Treat in 18 Berry Yummy Lip Idôle Lip Shaper in 60 Million Dollar Berry #Lancome #NinaChuba #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","16","#MESSWITHLANCOME #Lancome #NinaChuba #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #LavenderLatte #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526248148592004375","https://www.tiktok.com/@lancome.official/video/7526248148592004375","Watching the match, blocking the rays @jourdansloane. #Lancome #UVExpert #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty","24","#Lancome #UVExpert #Skincare #Sunscreen #Hydration #Summer #HotToBeLazy #Beauty"
